 ;comment_text;Rhetoric;Main targeted group;Secondary targeted group;Pejorative framing of communism;Vulgar language
ČT;Hana Šecová obvyklé řeči..... Když vyvedete svoji firmu z agrofertu aby dosáhla na dotace.... Pak ty dotace dostanete.... A firmu zpět vrátíte pod křídla agrofertu... Doufám že vám tyto důkazy stačí.... Nebo věříte že to je kampaň? Nechápu co všechno tomu soudně usvědčenému lháři promíjíte.....;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Tady je zase nablito od fandů Bureše/Babise.;Hateful speech;Fellow commenters;Candidate - Babiš;TRUE;TRUE
ČT;Jan Novenko sem se na něco ptala??🥳😭;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Fanda Houda tak ve válce jsme s Rusáky.;Hateful speech;Other;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková především okradl EU takže to mě vůbec nezajímá . Chudý lidi dotace nedostanou ...;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková zalez babo;Hateful speech;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková tebe chudaku? Me tedy ne;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Milan Knedlik No a co ? Máte s tím problém? Kdo komu a čemu fandí ? 🥳;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Rudolf Marek urážet ti jde😃 vem si paralen a jdi si lehnout😂😅;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková Je hrozné jak jeden psychopat dokázal zmanipulovat půlku národa kteří mu věří úplně všechno. Proč chce jít šašek na hrad, aby už na něj nemohli. Darebák.;Hateful speech;Candidate - Babiš;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková Jen to napiš, čím zrovna Tebe podvedl;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková . Jak tě podvedl?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková dejte se léčit;Trolling;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková 😂🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková No hlavně vás podvedl. 😂😂;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Hana Šecová problém nemám, ale STBakovi Burešovi/Babisovi fandí to co se jim stýská po starých časech komunistických,je to zloděj a oblbovac takových jako jste vy a vám podobní,čest vaší práci.;Hateful speech;Candidate - Babiš;Not targeting;TRUE;FALSE
ČT;Jiří Černý já jsem Čech, ne Ukrajinec.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Božena Juryštová Babo , co ti je po tom , co tady budeš někoho ostouzet, za jiné názory a urážet, sakra , na to se vy💩 a nemontuj se do druhých lidiček. 😭 Apropos , kdyby jen tak náhodou se stal prezidentem, to bys mektala jinak , Káčo 🤮;Hateful speech;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Ivana Hoferová zalez babo jedna;Hateful speech;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková Koho-všechny,NELŽI.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Maria Zvárová i vy komiku co tam máte dál za blábol omezence.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková Mluvte za sebe, v čem vás konkrétnĕ povedl?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Maria Zvárová vy budete dorostenka že?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Romana Rektorisova Tebe ne, protože jsi stará blbá kobliha 🤷🏻‍♂️;Hateful speech;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Daniel Benzema Mares Pražákům těm je hej 💥;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková Jste spadla asi z jahody 🙈🤣🤣 obraťte se na ODS a všechny ty gaunery co náš stát rozkládali a rozprodali vše co mohli!!! Jste nevzdělaná či jste ještě byla v tátově pytlíku nenarozená!!!;Hateful speech;Fellow commenters;Other political subjects;FALSE;FALSE
ČT;Katka Kaščáková ne nepodvedl, podvedli vas media, jak kdysi;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Hana Šecová jste hulvát, ale to jsou většina co fandí tomu STBakovi Burešovi/Babisovi. Nikdo ho neostouzi on je ostuda sám a zloděj. Oblbuje takové jako jste vy.;Hateful speech;Candidate - Babiš;Fellow commenters;TRUE;TRUE
ČT;Věra Obrová Všichni jsou grázlové a zločinci co jsou u koryt a jen si pakují své účty! a tím že Mistr Babiška přidal na důchodech za svého úřadování za to nebude mit svatozář nešlo to z jeho kaspy ale nýbrž z daňových poplatníku tak asi tak!.;Hateful speech;Other political subjects;Candidate - Babiš;FALSE;FALSE
ČT;Ivana Hoferová Mluvte za sebe...🤘;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková a v čem?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;František Koranda A vy jste mladík….😂😂😂😂😂;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Sug Madic   Že okradl Brusel mi vůbec  nevadí, protože daleko víc odírá Brusel  nás všechny! Ty dotace mu někdo musel schválit, jinak by je nedostal ! Ale co prováděl za covidu, omezování a hlavně to povinné očkování mu nikdy neodpustím !;Hateful speech;Candidate - Babiš;Organizations;FALSE;FALSE
ČT;Rudolf Marek přesně tak🤩🤩🤩;Supportive speech;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková Vás podvedl ?Mě ne, postavil krásný areál Čapí hnízdo ,všichni jsou unešeni když tam jedou ,nechápu o co se Vám jedná a za co má jít za mříže .;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Božena Juryštová jaké máte důkazy to by mě taky zajímalo .U soudu nemají a Vy máte ?Tak napište ..;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Milan Knedlik Hele dědo, ty tady přestaň urážet lidí , kteří mají jiný názor a ne ten jaký máš ty na to ti 💩 pes.A jestli tě pronásledují komouši ještě po 33 letech tak to je tvůj problém a neotravuj s tím normální vlastence, jestli ti to něco říká. Patřiš  mezi ty , co podněcují k nenávisti a nesnášenlivosti a od takových hooodně daleko 🖐️😭;Hateful speech;Fellow commenters;Not targeting;TRUE;FALSE
ČT;Sug Madic no to jste na omylu!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jinej už by měl odsezeno 5 let….;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jiří Rychtr jasný máte evidentně zkušenosti.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Je to jasný jak facka, vyvázne s verdiktem  NEVINEN, jako vždy a počkejte co se bude dít🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pane Babiš jste nevinny vím to od začátku! Budete na HRADĚ! Miluji Vás a hlavně Vaše potraviny, western fazole v konzervě mnamka <3 a kvalitní toaletní papír, co je tak hladký co vyrábí Vaše firma ));Constructive engagement;Candidate - Babiš;Not targeting;FALSE;FALSE
ČT;Denis Pavlíček miluji vás 🤣🤣🤣 buzna z ano promluvila;Hateful speech;Fellow commenters;Not targeting;FALSE;TRUE
ČT;Jakub Janosec a ještě žere hajzpapír😂😂;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Petr Machač Sam si běžte... 😀;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ondřej Dobrkovský JASAN! VOLTE JARDU BASTU! BABISE DO KOSE! SKLAMAL NAS! 🇨🇿🇨🇿✌️;Supportive speech;Candidate - Bašta;Not targeting;FALSE;FALSE
ČT;Adept na krim .Nebo na Hrad 🏰🤷‍♂️🤷‍♂️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Osobně nebudou přítomní, protože se stejně odvolají svými zástupci a vyhnou se otázkám médií;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Babiš lhář, manipulátor, podvod, psychopat, StB patří vždy ‼️🖕;Hateful speech;Candidate - Babiš;Not targeting;TRUE;FALSE
ČT;Ukradnou/odkloni 50milionu a dostanou podmínku?! To jako fakt!!! Kdyby to udělal kdokoliv z normálních lidi tak dostane par let natvrdo! 🤦‍♂️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pokorny Jan A kdyby to udělal někdo ze současné vlády tak dostane ještě pochvalu ,jelikož o něčem neví.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pokorny Jan a co ti, co ukradli mnohem, mnohem víc, to nevadí?? Netvrdím, že je to správné, ale ta dotace byla schválená a navíc vrácená! Projekt,na rozdíl od některých dalších, funguje.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pokorny Jan Ty vůbec nevíš,která bije.;Trolling;Fellow commenters;Not targeting;FALSE;FALSE
